Country;Country Code;Index Economic Freedom_2018;Property Rights;Government Integrity;Judicial Effectiveness;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Afghanistan;AFG;7.85;7.4;14.1;2.7;8;8;8;8;8;8;8;8;8
Albania;ALB;66.6;58.3;39.6;59.2;88.8;71.9;76.4;74.2;51.3;75.8;83.4;60;60
Algeria;DZA;47.5;27.6;29.5;29.8;80.3;64.4;58.1;59.1;52.4;70.9;57.4;20;20
Angola;AGO;55;39.9;28.2;25.7;86.9;89.5;89.1;45.2;50.8;64.2;70.4;30;40
Argentina;ARG;54.2;34.7;39.7;56.5;70.8;57.1;67.9;55.3;55.2;23.3;64.4;65;60
Armenia;ARM;65.4;49.9;50.4;31.3;88.1;77.6;81.3;73;59.2;72.2;72;70;60
Australia;AUS;79.3;90.4;86.2;95.3;62.1;54.8;79.5;92.5;65.3;75;90;80;80
Austria;AUT;69.7;97;75.4;94.8;46.3;13.5;63.7;81.7;81.8;72.7;79.6;60;70
Azerbaijan;AZE;62.5;52.9;22;16.7;87.9;72.3;99;71.2;57.6;70.1;69.8;70;60
Bahrain;BHR;65.6;65.4;39.8;30.2;99.9;74.3;0;76.5;55.3;88.7;86.6;90;80
Bangladesh;BGD;54.7;36.5;23.3;27.9;82.6;95;70.2;53.9;47.4;67.1;62.2;50;40
Barbados;BRB;68.9;72.8;71.7;86.9;83.6;74.1;68.8;73.1;56.4;78.4;40.8;60;60
Belarus;BLR;48.9;20.9;28.8;10.5;89.3;55.6;96.2;50.9;48;67.2;69.2;30;20
Belgium;BEL;69;92.8;79.3;93;50.6;11.8;48;82.3;58.6;76.8;79.6;85;70
Belize;BLZ;64.2;35.1;44.4;72.6;83.2;82.2;86.5;68.3;65.1;71.2;56.6;55;50
Benin;BEN;58.5;44.8;42.4;49.1;69.4;88.4;51.9;53.7;58.7;80.3;63;50;50
Bhutan;BTN;57.5;69.7;71.1;62.9;83.4;68.2;25.8;67.2;57.7;70.5;63;20;30
Bolivia;BOL;44.1;19.9;27.3;29.4;88.8;61.8;4.4;54.8;56.5;70.6;60.6;15;40
Bosnia and Herzegovina;BIH;63.5;48.3;36.2;33.9;93.6;51.2;97.9;67.1;66.2;72.5;70;65;60
Botswana;BWA;69.9;74.1;60.1;70.5;84.9;70.8;90.4;70.6;60.7;68.3;78.8;50;60
Brazil;BRA;55.1;51.4;36.4;54.2;74.8;44.3;49.6;66.8;57.1;74.4;71.6;40;40
Brunei Darussalam;BRN;67;69.7;34.2;52.8;95;75.9;51.7;77.1;75.1;72.8;84.8;65;50
Bulgaria;BGR;68.8;75.7;48.5;56.6;94.2;56.7;91.1;74.9;68;70.8;79.6;60;50
Burkina Faso;BFA;51;28.1;40.7;35.7;82;73.3;13.7;38.6;61.9;71.9;61.4;65;40
Burma;MMR;43.7;17.3;18.7;4.2;88.6;84;39.9;39.9;53.2;59.7;68.6;30;20
Burundi;BDI;39.7;28.6;14.2;7.4;76.1;71.1;12.2;31.9;50;54.4;50.8;50;30
Cabo Verde;CPV;68.7;64.6;64.4;75.1;84.4;77.8;54.7;80.2;59.6;76.5;67;60;60
Cambodia;KHM;58.2;41.7;17.6;22.7;89.8;88.8;86.6;61;47.2;74.1;69.2;50;50
Cameroon;CMR;52.1;31.3;20.7;10.3;72.9;91.2;92.3;48.8;46.5;73.7;57.2;30;50
Canada;CAN;75.5;89;85.4;95.6;74.8;44.6;78;84.6;69.4;71.5;83.2;60;70
Central African Republic;CAF;42.8;6.9;19.6;4;65.5;89.8;53.8;27.1;48.3;72.8;50.4;45;30
Chad;TCD;52.2;27.4;14.1;14.5;78.5;92.9;97.9;28.7;53.5;72;47.2;60;40
Chile;CHL;73.2;71.3;67.9;87.8;72.5;74.4;84.2;79.5;61.3;71.8;78;60;70
China;CHN;49;46.7;40.4;37.4;71.6;67.1;11.1;67.7;57.9;74.6;74;20;20
Colombia;COL;59.8;45.5;40.9;58.8;67.6;64.4;48.7;68.6;61.7;69.4;72.2;60;60
Comoros;COM;51.4;22.9;16;20.9;65.3;89.5;86.1;49.9;55.1;71.3;64.2;45;30
Costa Rica;CRI;68.6;65.9;60.4;75.7;78.5;88.6;70.8;80.3;62.1;74.9;75.4;50;40
Côte d'Ivoire;CIV;57.8;46.3;36.6;31.1;82.2;86.3;42.4;65.2;56.8;66.5;70;60;50
