Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Afghanistan,AFG,1.20311798981139,0.293025179616803,0.285440893554571,0.239801184405551,0.209664794672203,0.88400046336123,0.516606084523093,0.274796791572807,0.661572217787196
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Albania,ALB,9.13813124439238,8.13533613546751,7.45135495532692,9.81628458243044,8.69303872198522,8.69053394301894,8.80509197849022,7.85544826704409,7.83109066598543
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Algeria,DZA,1.29390467487818,1.17767329101171,0.660551953898795,0.736559065111634,0.628688968391006,-0.286832290676438,0.906300705997461,0.647902696344899,0.753576088552125
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Angola,AGO,-3.85111149953586,-2.70487323645008,-1.14376777921663,-5.3801309953635,2.69000564690096,11.0813390258994,-0.340242828705014,-10.0383767819736,-8.12589110876485
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Antigua and Barbuda,ATG,7.21911598334963,5.43424969709311,9.40640903138073,7.00796526961064,3.35524419080796,7.93074035994626,6.54040819952073,9.87959672634112,12.1775193572219
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Argentina,ARG,2.67516171886537,2.04465997872008,2.80667189982932,1.77920553648531,0.962406650325519,1.97713461784426,0.584748941173009,1.78936504083807,2.23253157689253
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Armenia,ARM,5.7160373406455,6.44066805582744,4.67672759828403,3.11193185351156,3.50211415457343,1.74473701796819,3.16536727816995,2.19257337687685,2.14204783415544
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Aruba,ABW,7.61167220218679,18.5057800383246,-12.0331802180755,9.97445509242156,7.46525460335853,-0.907264204095974,0.92339797912293,5.25337330818787,4.39982167334802
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Australia,AUS,3.0948394339821,4.68881515477357,3.72019933653419,3.45392766613526,4.3047066438758,3.47020901785018,3.56056595221134,3.63608951454838,4.25033304779982
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Austria,AUT,-5.64539670207833,5.35812778038962,1.2830027920872,-0.302633479129545,0.389557041234778,-1.80409511056007,-7.23989904197038,3.38180275607348,-6.15119207172195
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Azerbaijan,AZE,6.337255132933,6.80050011965746,7.59651867931835,3.53211598676051,5.88846176710651,7.62606837682972,11.8828171505465,7.01669598350389,2.97797589143235
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Bahamas, The",BHS,8.63699216304667,6.61957509346653,4.90812842804373,3.67698493622424,2.28973153898725,0.651786981982368,3.32393965491992,2.48913165410064,3.89515281813018
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bahrain,BHR,0.581105356633959,2.61026038592024,4.83265436536465,11.0211306090708,4.36728984042949,0.199529633421541,0.718174283238518,3.83300891199591,4.18079308703848
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Bangladesh,BGD,1.06896766308322,0.983399364184761,1.18850391920184,1.73532012481503,1.46870305074204,1.45078245529361,0.879528340272002,0.616341784631384,0.753549134128693
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Barbados,BRB,8.19344765818078,8.60234229239735,10.0174515190616,1.94154778434176,14.0456717994001,13.0203937978761,10.4581740534361,1.65808026519371,4.29129833229134
